player,team
LJ Woodcock,New Zealand
LJ Wright,England
LL Tsotsobe,South Africa
LM Jongwe,Zimbabwe
LMP Simmons,West Indies
LN Onyango,Kenya
LN Rajbanshi,Nepal
LN Roche,Zimbabwe
LOB Cann,Bermuda
LP van Troost,Netherlands
LPC Silva,Sri Lanka
LR Johnson,West Indies
LR Morris,Australia
LR Naylor,Scotland
LRPL Taylor,New Zealand
LS Baker,West Indies
LS Livingstone,England
LV van Beek,Netherlands
Liton Das,Bangladesh
Lovepreet Singh,United Arab Emirates
M Bhanuka,Sri Lanka
M Commins,Ireland
M Dillon,West Indies
M Faraz Akram,Zimbabwe
M Gill,Canada
M Jansen,South Africa
M Kaif,India
M Karg,Namibia
M Kartik,India
M Labuschagne,Australia
M Levitt,Netherlands
M Morkel,South Africa
M Mpongwana,South Africa
M Muralitharan,Sri Lanka
M Ntini,South Africa
M Pathirana,Sri Lanka
M Prasidh Krishna,India
M Pushpakumara,Sri Lanka
M Shiraz,Sri Lanka
M Shumba,Zimbabwe
M Spoors,Canada
M Theekshana,Sri Lanka
M Vijay,India
M Zondeki,Africa XI
M van Jaarsveld,South Africa
M van Lingen,Namibia
M van Schoor,Namibia
MA Abbas,New Zealand
MA Agarwal,India
MA Aponso,Sri Lanka
MA Carberry,England
MA Jones,Scotland
MA Leask,Scotland
MA Ouma,Kenya
MA Starc,Australia
MA Suji,Kenya
MA Vermeulen,Zimbabwe
MA Wood,England
MADI Hemantha,Sri Lanka
MB Kruger,Namibia
MB Loye,England
MBS Jonkman,Netherlands
MC Henriques,Australia
MC Sorensen,Ireland
MD Bates,New Zealand
MD Dai,Papua New Guinea
MD Gunathilaka,Sri Lanka
MD Patel,United States of America
MD Shanaka,Sri Lanka
MD du Preez,Namibia
MDK Perera,Sri Lanka
MDKJ Perera,Sri Lanka
ME Sanuth,Oman
ME Trescothick,England
MEK Hussey,Australia
MF Maharoof,Sri Lanka
MG Bevan,Australia
MG Bracewell,New Zealand
MG Erasmus,Namibia
MG Johnson,Australia
MG Neser,Australia
MH Cross,Scotland
MH Yardy,England
MHW Papps,New Zealand
MJ Clarke,Australia
MJ Cosgrove,Australia
MJ Fourie,Ireland
MJ Guptill,New Zealand
MJ Hay,New Zealand
MJ Henry,New Zealand
MJ Hoggard,England
MJ Humphreys,Ireland
MJ Lumb,England
MJ Mason,New Zealand
MJ McClenaghan,New Zealand
MJ North,Australia
MJ Owen,Australia
MJ Potts,England
MJ Prior,England
MJ Santner,New Zealand
MJ Swepson,Australia
MJG Rippon,Netherlands
MK Pandey,India
MK Tiwary,India
MKDI Amerasinghe,Sri Lanka
MKGCP Lakshitha,Sri Lanka
ML Cummins,West Indies
ML Hayden,Australia
ML Lewis,Australia
ML Nkala,Zimbabwe
ML Patel,Kenya
ML Udawatte,Sri Lanka
MM Ali,England
MM English,Scotland
MM Iqbal,Scotland
MM Patel,India
MM Sharma,India
MMA Jonkman,Netherlands
MN Nawaz,Sri Lanka
MN Samuels,West Indies
MN Waller,Zimbabwe
MN van Wyk,South Africa
MNK Fernando,Sri Lanka
MO Jones,Bermuda
MO Odumbe,Kenya
MP Breetzke,South Africa
MP Kuhnemann,Australia
MP O'Dowd,Netherlands
MP Stoinis,Australia
MP Vaughan,England
MQ Sheikh,Scotland
MR Adair,Ireland
MR Gillespie,New Zealand
MR Johnson,United States of America
MR Marsh,Australia
MR Swart,Netherlands
MRJ Watt,Scotland
MS Atapattu,Sri Lanka
MS Chapman,New Zealand
MS Dhoni,India
MS Kasprowicz,Australia
MS Panesar,England
MS Sinclair,New Zealand
MS Tshabalala,South Africa
MS Wade,Australia
MT Chinouya,Zimbabwe
MT Renshaw,Australia
MV Boucher,South Africa
MVT Fernando,Sri Lanka
MW Forde,West Indies
MW Machan,Scotland
MW Parkinson,England
MW Short,Australia
MWA van Nierop,Netherlands
Mahbubul Alam,Bangladesh
Mahedi Hasan,Bangladesh
Mahidul Islam Ankon,Bangladesh
Mahmudullah,Bangladesh
Manjural Islam,Bangladesh
Manjural Islam Rana,Bangladesh
Mansoor Amjad,Pakistan
Mashrafe Mortaza,Bangladesh
Mehedi Hasan Miraz,Bangladesh
Mehrab Hossain jnr,Bangladesh
Mehran Khan,Oman
Milind Kumar,United States of America
Misbah-ul-Haq,Pakistan
Mohammad Aadil Alam,Nepal
Mohammad Ali,Pakistan
Mohammad Amir,Pakistan
Mohammad Ashraful,Bangladesh
Mohammad Asif,Pakistan
Mohammad Boota,United Arab Emirates
Mohammad Hafeez,Pakistan
Mohammad Haris,Pakistan
Mohammad Hasnain,Pakistan
Mohammad Iqbal,Canada
Mohammad Irfan,Pakistan
Mohammad Kashif,Netherlands
Mohammad Mithun,Bangladesh
Mohammad Nadeem,Oman
Mohammad Naim,Bangladesh
Mohammad Naveed,United Arab Emirates
Mohammad Nawaz,Pakistan
Mohammad Nawaz (3),Pakistan
Mohammad Rafique,Asia XI
Mohammad Rizwan,Pakistan
Mohammad Saifuddin,Bangladesh
Mohammad Salman,Pakistan
Mohammad Sami,Pakistan
Mohammad Shahzad (2),United Arab Emirates
Mohammad Talha,Pakistan
Mohammad Tauqir,United Arab Emirates
Mohammad Wasim,Pakistan
Mohammad Yousuf,Pakistan
Mohammed Qasim,United Arab Emirates
Mohammed Shami,India
Mohammed Siraj,India
Moin Khan,Pakistan
Mominul Haque,Bangladesh
Moniruzzaman,Bangladesh
Mosaddek Hossain,Bangladesh
Mosharraf Hossain,Bangladesh
Mrittunjoy Chowdhury,Bangladesh
Mudassar Bukhari,Netherlands
Muhammad Farooq,United Arab Emirates
Muhammad Jawadullah,United Arab Emirates
Muhammad Musa,Pakistan
Muhammad Rohid,United Arab Emirates
Muhammad Shahdad,United Arab Emirates
Muhammad Usman,United Arab Emirates
Mujibur Ali,Oman
Mukesh Kumar,India
Munir Dar,Hong Kong
Musa Ahmed,Netherlands
Mushfiqur Rahim,Bangladesh
Mushfiqur Rahman,Bangladesh
Mustafizur Rahman,Bangladesh
Muzahir Raza,Oman
N Boje,Africa XI
N Burger,South Africa
N Davin,Namibia
N Deonarine,West Indies
N Dickwella,Sri Lanka
N Dutta,Canada
N Fernandes,United Arab Emirates
N Hussain,England
N Ifill,Canada
N Kruger,Netherlands
N M'shangwe,Zimbabwe
N Madziva,Zimbabwe
N Peter,South Africa
N Pokana,Papua New Guinea
N Pooran,West Indies
N Pradeep,Sri Lanka
N Rana,India
N Vanua,Papua New Guinea
NA Greenwood,Jersey
NA Rock,Ireland
NA Saini,India
NA Statham,Netherlands
NA de Groot,Canada
NAM McLean,West Indies
NB Mahwire,Zimbabwe
ND McKenzie,South Africa
NE Bonner,West Indies
NF Kelly,New Zealand
NFI McCallum,Scotland
NG Jones,Ireland
NG Smith,New Zealand
NGRP Jayasuriya,Sri Lanka
NJ Astle,New Zealand
NJ O'Brien,Ireland
NK Patel,United States of America
NK Yadav,Nepal
NL McCullum,New Zealand
NLTC Perera,Sri Lanka
NM Carter,Scotland
NM Coulter-Nile,Australia
NM Hauritz,Australia
NM Lyon,Australia
NN Odhiambo,Kenya
NO Miller,West Indies
NP Kenjige,United States of America
NR Kirton,Canada
NR Kumar,Canada
NRJ Croes,Netherlands
NS Dhaliwal,Canada
NS Poonia,Scotland
NT Broom,New Zealand
NT Ellis,Australia
NT Pascal,West Indies
NV Knight,England
NV Ojha,India
NW Bracken,Australia
Nadeem Ahmed,Hong Kong
Naeem Islam,Bangladesh
Nafees Iqbal,Bangladesh
Nahid Rana,Bangladesh
Najeeb Amar,Hong Kong
Naseem Khushi,Oman
Naseem Shah,Pakistan
Nasir Aziz,United Arab Emirates
Nasir Hossain,Bangladesh
Nasir Jamshed,Pakistan
Nasir Javed,United States of America
Nasum Ahmed,Bangladesh
Naumanullah,Pakistan
Navdeep Saini,India
Naved Latif,Pakistan
Naved-ul-Hasan,Pakistan
Nazimuddin,Bangladesh
Nazmul Hossain,Bangladesh
Nazmul Hossain Shanto,Bangladesh
Nazmul Islam,Bangladesh
Nestor Dhamba,Oman
Nithish Kumar Reddy,India
Nizakat Khan,Hong Kong
Nurul Hasan,Bangladesh
O Davidson,Scotland
O Thomas,West Indies
OA Shah,England
OAC Banks,West Indies
OC McCoy,West Indies
OEG Baartman,South Africa
OF Smith,West Indies
OL Pitcher,Bermuda
OO Bascome,Bermuda
OP Stone,England
Omid Shafi Rahman,United Arab Emirates
P Jayawickrama,Sri Lanka
P Khadka,Nepal
P Kumar,India
P Mustard,England
P Nissanka,Sri Lanka
P Rathnayake,Sri Lanka
P Sarraf,Nepal
P Subrayen,South Africa
P Utseya,Zimbabwe
PA Browne,West Indies
PA Desai,Canada
PA Hitchcock,New Zealand
PA Jaques,Australia
PA Nixon,England
PA Patel,India
PA de Silva,Sri Lanka
PA van Meekeren,Netherlands
PADLR Sandakan,Sri Lanka
PARP Perera,Sri Lanka
PBB Rajapaksa,Sri Lanka
PC Connell,Ireland
PC de Silva,Sri Lanka
PD Collingwood,England
PD Macchi,Oman
PD McGlashan,New Zealand
PD Salt,England
PDRL Perera,Sri Lanka
PG Fulton,New Zealand
PG Gillespie,Ireland
PHKD Mendis,Sri Lanka
PHT Kaushal,Sri Lanka
PJ Cummins,Australia
PJ Forrest,Australia
PJ Hughes,Australia
PJ Ingram,New Zealand
PJ Moor,Zimbabwe
PJ Ongondo,Kenya
PJC Hoffmann,Scotland
PJK Mooney,Ireland
PKD Chase,Ireland
PL Mommsen,Scotland
PLS Gamage,Sri Lanka
PM Liyanagamage,Sri Lanka
PM Pushpakumara,Sri Lanka
PM Seelaar,Netherlands
PM Siddle,Australia
PP Chawla,India
PP Ojha,India
PP Shaw,India
PR Stirling,Ireland
PRP Boissevain,Netherlands
PS Athavale,Oman
PS Masvaure,Zimbabwe
PSP Handscomb,Australia
PT Collins,West Indies
PVD Chameera,Sri Lanka
PW Borren,Netherlands
PW Gunaratne,Sri Lanka
PWA Mulder,South Africa
PWH de Silva,Sri Lanka
Pankaj Singh,India
Pargat Singh,Canada
Parveen Kumar,Canada
Parvez Hossain Emon,Bangladesh
Pratis GC,Nepal
Q de Kock,South Africa
Qadeer Ahmed,United Arab Emirates
Qaiser Ali,Canada
R Ashwin,India
R Chopra,United Arab Emirates
R Clarke,England
R Dhakal,Nepal
R Dhawan,India
R Dravid,India
R Gunasekera,Canada
R Hekure,Papua New Guinea
R Klein,Netherlands
R McLaren,South Africa
R Murray,Zimbabwe
R Mutumbami,Zimbabwe
R Ngarava,Zimbabwe
R Parag,India
R Powell,West Indies
R Rampaul,West Indies
R Ravindra,New Zealand
R Sharma,India
R Shepherd,West Indies
R Telemachus,South Africa
R Trumpelmann,Namibia
R Vinay Kumar,India
R Walters,Namibia
RA Herman,South Africa
RA Jadeja,India
RA Jones,New Zealand
RA Mariu,New Zealand
RA Reifer,West Indies
RAP Nissanka,Sri Lanka
RAS Lakmal,Sri Lanka
RC Irani,England
RD Berrington,Scotland
RD Chahar,India
RD Gaikwad,India
RD Jacobs,West Indies
RD McCann,Ireland
RD Rickelton,South Africa
RD Shah,Kenya
RD Steede,Bermuda
RDM Leverock,Bermuda
RE van der Merwe,Netherlands
RG Aga,Kenya
RG Sharma,India
RH Scholte,Netherlands
RJ Harris,Australia
RJ Nicol,New Zealand
RJ Peterson,South Africa
RJ Sidebottom,England
RJ Trott,Bermuda
RJ van Vuuren,Namibia
RJW Topley,England
RK Kleinveldt,South Africa
RK Paudel,Nepal
RK Singh,India
RK Whelan,Ireland
RL Bhudia,Kenya
RL Chase,West Indies
RL Johnson,England
RL Powell,West Indies
RM Haq,Scotland
RM Jariwala,United States of America
RM Patidar,India
RM West,Ireland
RML Taylor,Scotland
RMMP Rathnayake,Sri Lanka
RMS Eranga,Sri Lanka
RN Bhatia,United Arab Emirates
RN Lewis,West Indies
RN ten Doeschate,Netherlands
RO Hinds,West Indies
RO Hurley,West Indies
RO Hussain,Scotland
RP Alexander,United States of America
RP Arnold,Sri Lanka
RP Burl,Zimbabwe
RP Lefebvre,Netherlands
RP Singh,India
RR Beaton,West Indies
RR Emrit,West Indies
RR Hendricks,South Africa
RR Joshi,Canada
RR Pant,India
RR Patel,Kenya
RR Powar,India
RR Ramdass,West Indies
RR Rossouw,South Africa
RR Sarwan,West Indies
RR Watson,Scotland
RS Bopara,England
RS Gavaskar,India
RS Higgins,Zimbabwe
RS Kaluwitharana,Sri Lanka
RS Morton,West Indies
RT Crandon,West Indies
RT Lyons,Scotland
RT Ponting,Australia
RTM Mendis,Sri Lanka
RV Uthappa,India
RW Chakabva,Zimbabwe
RW Price,Zimbabwe
RW Sims,Zimbabwe
RW Staple,United States of America
RWT Key,England
Rahat Ali,Pakistan
Rajin Saleh,Bangladesh
Rameez Shahzad,United Arab Emirates
Raqibul Hasan,Bangladesh
Rashid Latif,Pakistan
Rashid Zia,United States of America
Ravi Bishnoi,India
Ravinderpal Singh,Canada
Raza Hasan,Pakistan
Raza-ur-Rehman,Canada
Rehan Ahmed,England
Reon King,West Indies
Rishad Hossain,Bangladesh
Rizwan Cheema,Canada
Robiul Islam,Bangladesh
Rohan Mustafa,United Arab Emirates
Rony Talukdar,Bangladesh
Rubel Hossain,Bangladesh
Rumman Raees,Pakistan
S Badrinath,India
S Baker,England
S Bau,Papua New Guinea
S Bhari,Nepal
S Chanderpaul,West Indies
S Chattergoon,West Indies
S Daniel,Sri Lanka
S Dhakal,Nepal
S Dhamala,Nepal
S Dhaniram,Canada
S Dhawan,India
S Dube,India
S Fouché,Namibia
S Jora,Nepal
S Joseph,West Indies
S Jyoti,Canada
S Kalyan,United Arab Emirates
S Kaul,India
S Lamichhane,Nepal
S Mahmood,England
S Matsikenyeri,Zimbabwe
S Movva,Canada
S Mukuddem,Bermuda
S Muthusamy,South Africa
S Prasanna,Sri Lanka
S Qeshile,South Africa
S Randiv,Sri Lanka
S Samarawickrama,Sri Lanka
S Shrivastava,Oman
S Snater,Netherlands
S Sreesanth,India
S Sriram,India
S Thuraisingam,Canada
S Tyagi,India
S Vesawkar,Nepal
SA Abbott,Australia
SA Edwards,Netherlands
SA Engelbrecht,Netherlands
SA Wijeratne,Canada
SA Yadav,India
SB Bangar,India
SB Styris,New Zealand
SC Ganguly,India
SC Getkate,Ireland
SC Joseph,West Indies
SC Kuggeleijn,New Zealand
SC Meaker,England
SC Williams,Zimbabwe
SC van Schalkwyk,United States of America
SCJ Broad,England
SD Heazlett,Australia
SD Hope,West Indies
SD Outerbridge,Bermuda
SD Udal,England
SE Bond,New Zealand
SE Findlay,West Indies
SE Marsh,Australia
SE Rutherford,West Indies
SF Burger,Namibia
SF Mire,Zimbabwe
SG Borthwick,England
SG Whittingham,Scotland
SH Johnson,Australia
SHT Kandamby,Sri Lanka
SI Kamea,Papua New Guinea
SI Mahmood,England
SJ Baard,Namibia
SJ Benn,West Indies
SJ Cameron,Scotland
SJ Harmison,England
SJ Massiah,United States of America
SJ Modani,United States of America
SJ Myburgh,Netherlands
SJ Swanepoel,Namibia
SK Atai,Papua New Guinea
SK Patel,United States of America
SK Raina,India
SK Springer,West Indies
SK Warne,Australia
SKW Kelly,Bermuda
SL Malinga,Sri Lanka
SL Stewart,New Zealand
SM Boland,Australia
SM Curran,England
SM Davies,England
SM Ervine,Zimbabwe
SM Harwood,Australia
SM Katich,Australia
SM Pollock,South Africa
SM Sharif,Scotland
SM Sharma,United Arab Emirates
SM Warnapura,Sri Lanka
SMA Priyanjan,Sri Lanka
SMSM Senanayake,Sri Lanka
SN Netravalkar,United States of America
SN Thakur,India
SO Dowrich,West Indies
SO Hetmyer,West Indies
SO Ngoche,Kenya
SO Tikolo,Kenya
SP Fleming,New Zealand
SP Jones,England
SP Khakurel,Nepal
SP Krishnamurthi,United States of America
SP Narine,West Indies
SP Patil,United Arab Emirates
SP Terry,Ireland
SPD Smith,Australia
SR Clark,Australia
SR Hain,England
SR Mukkamalla,United States of America
SR Patel,England
SR Taylor,United States of America
SR Tendulkar,India
SR Thompson,Ireland
SR Waters,Kenya
SR Watson,Australia
SS Cottrell,West Indies
SS Iyer,India
SS Kang,United Arab Emirates
SS McKechnie,Hong Kong
SS Pathirana,Sri Lanka
SS Tiwary,India
SSB Magala,South Africa
SSD Arachchige,Sri Lanka
SSJ Brooks,West Indies
ST Doheny,Ireland
ST Finn,England
ST Gabriel,West Indies
ST Jayasuriya,Sri Lanka
STR Binny,India
SV Bahutule,India
SV Carlisle,Zimbabwe
SV Samson,India
SW Ambris,West Indies
SW Billings,England
SW Currie,Scotland
SW Masakadza,Zimbabwe
SW Poynter,Ireland
SW Tait,Australia
Saad Ali,Pakistan
Saad Bin Zafar,Canada
Saad Nasim,Pakistan
Sabbir Rahman,Bangladesh
Sabir Ali,United Arab Emirates
Saeed Ajmal,Pakistan
Saeed Anwar,Pakistan
Sagar Pun,Nepal
Saif Hassan,Bangladesh
Saim Ayub,Pakistan
Saleem Elahi,Pakistan
Salman Butt,Pakistan
Salman Faris,United Arab Emirates
Sami Aslam,Pakistan
Sami Faridi,Canada
Sandeep Goud,Oman
Sanwar Hossain,Bangladesh
Saqib Ali,United Arab Emirates
Saqib Zulfiqar,Netherlands
Saqlain Haider,United Arab Emirates
Saqlain Mushtaq,Pakistan
Sarfraz Ahmed,Pakistan
Saud Shakeel,Pakistan
Shabbir Ahmed,Pakistan
Shadab Khan,Pakistan
Shafiul Islam,Bangladesh
Shahadat Hossain,Bangladesh
Shahbaz Ahmed,India
Shaheen Shah Afridi,Pakistan
Shahid Afridi,Pakistan
Shahid Ahmadzai,Canada
Shahid Wasif,Hong Kong
Shahnawaz Dhani,Pakistan
Shahriar Hossain,Bangladesh
Shahriar Nafees,Bangladesh
Shahzaib Hasan,Pakistan
Shaiman Anwar,United Arab Emirates
Shakeel Ahmed,Oman
Shakib Al Hasan,Bangladesh
Shamim Hossain,Bangladesh
Shamsur Rahman,Bangladesh
Shan Masood,Pakistan
Shariz Ahmad,Netherlands
Sharjeel Khan,Pakistan
Shayan Jahangir,United States of America
Shivam Sharma,Canada
Shoaib Akhtar,Pakistan
Shoaib Khan,United Arab Emirates
Shoaib Malik,Pakistan
Shoriful Islam,Bangladesh
Shubham Ranjane,United States of America
Shubman Gill,India
Shuvagata Hom,Bangladesh
Sikandar Raza,Zimbabwe
Simandeep Singh,Hong Kong
Simi Singh,Ireland
Skhawat Ali,Hong Kong
Sohag Gazi,Bangladesh
Sohaib Maqsood,Pakistan
Sohail Khan,Pakistan
Sohail Tanvir,Pakistan
Sompal Kami,Nepal
Soumya Sarkar,Bangladesh
Steven Ryan Taylor,United States of America
Subashis Roy,Bangladesh
Sufiyan Muqeem,Pakistan
Sufyan Mehmood,Oman
Suhrawadi Shuvo,Bangladesh
Sultan Ahmed (2),United Arab Emirates
Sunzamul Islam,Bangladesh
Suraj Kumar,Oman
Surya Tamang,Nepal
Syed Rasel,Bangladesh
T Banton,England
T Bavuma,South Africa
T Duffin,Zimbabwe
T Gwandu,Zimbabwe
T Kaitano,Zimbabwe
T Kamungozi,Zimbabwe
T Lungameni,Namibia
T Maruma,Zimbabwe
T Marumani,Zimbabwe
T Mayes,Ireland
T Mishra,Kenya
T Mufudza,Zimbabwe
T Munyonga,Zimbabwe
T Mupariwa,Zimbabwe
T Muzarabani,Zimbabwe
T Panyangara,Zimbabwe
T Sangha,Australia
T Shamsi,South Africa
T Stubbs,South Africa
T Suri,United Arab Emirates
T Taibu,Zimbabwe
T Thushara,Sri Lanka
T de Zorzi,South Africa
T van der Gugten,Netherlands
TA Blundell,New Zealand
TA Boult,New Zealand
TAM Siriwardana,Sri Lanka
TB Robinson,New Zealand
TB Sole,Scotland
TBM de Leede,Netherlands
TC Bastiampillai,Canada
TC Bruce,Scotland
TCB Fernando,Sri Lanka
TD Astle,New Zealand
TD Paine,Australia
TG Gordon,Canada
TG Southee,New Zealand
TH David,Australia
TJ Bishop,West Indies
TJ Friend,Zimbabwe
TJ Heggelman,Netherlands
TJ Murtagh,Ireland
TJG Pringle,Netherlands
TK Canning,New Zealand
TK Curran,England
TK Musakanda,Zimbabwe
TK Patel,United States of America
TL Best,West Indies
TL Chatara,Zimbabwe
TL Chivanga,Zimbabwe
TL Seifert,New Zealand
TLW Cooper,Netherlands
TM Dilshan,Sri Lanka
TM Dowlin,West Indies
TM Head,Australia
TM Odoyo,Kenya
TMK Mawoyo,Zimbabwe
TN de Grooth,Netherlands
TP Ura,Papua New Guinea
TP Visee,Netherlands
TR Ambrose,England
TR Gripper,Zimbabwe
TS Chisoro,Zimbabwe
TS Kamunhukamwe,Zimbabwe
TS Nethula,New Zealand
TS Roland-Jones,England
TSS Mackintosh,Scotland
TT Bresnan,England
TT Samaraweera,Sri Lanka
TV Mufambisi,Zimbabwe
TW Hartley,England
TWM Latham,New Zealand
Tabarak Dar,Hong Kong
Taijul Islam,Bangladesh
Talha Jubair,Bangladesh
Tamim Iqbal,Bangladesh
Tanbir Hayder,Bangladesh
Tanveer Ahmed,Hong Kong
Tanvir Ahmed (1),Pakistan
Tanvir Islam,Bangladesh
Tanwir Afzal,Hong Kong
Tanzid Hasan,Bangladesh
Tanzim Hasan Sakib,Bangladesh
Tapash Baisya,Bangladesh
Tareq Aziz,Bangladesh
Taskin Ahmed,Bangladesh
Taufeeq Umar,Pakistan
Tayyab Tahir,Pakistan
Tilak Varma,India
Towhid Hridoy,Bangladesh
Tushar Imran,Bangladesh
U Bhagwan,Canada
U Bhatti,Canada
UDU Chandana,Sri Lanka
UT Khawaja,Australia
UT Yadav,India
UWMBCA Welegedara,Sri Lanka
Umair Ali,United Arab Emirates
Umar Akmal,Pakistan
Umar Amin,Pakistan
Umar Gul,Pakistan
Umran Malik,India
Usama Mir,Pakistan
Usman Khan,Pakistan
Usman Khan (2),Pakistan
Usman Limbada,Canada
Usman Rafiq,United States of America
Usman Salahuddin,Pakistan
Usman Shinwari,Pakistan
Utkarsh Srivastava,United States of America
V Aravind,United Arab Emirates
V Kohli,India
V Permaul,West Indies
V Sehwag,India
V Shankar,India
V Shetty,United Arab Emirates
V Shukla,Oman
V Sibanda,Zimbabwe
V Sukumaran,United Arab Emirates
VAB Tewarie,Netherlands
VB van Jaarsveld,South Africa
VC Drakes,West Indies
VD Philander,South Africa
VJ Kingma,Netherlands
VM Nyauchi,Zimbabwe
VR Aaron,India
VR Iyer,India
VRV Singh,India
VS Solanki,England
VV Morea,Papua New Guinea
VVS Laxman,India
Vikramjit Singh,Netherlands
W Barresi,Netherlands
W Jaffer,India
W Madhevere,Zimbabwe
W Mwayenga,Zimbabwe
W O'Rourke,New Zealand
W Sutherland,Australia
WA Agar,Australia
WA Young,New Zealand
WB Rankin,Ireland
WCA Ganegama,Sri Lanka
WD Balaji Rao,Canada
WD Parnell,South Africa
WF Stelling,Netherlands
WG Jacks,England
WIA Fernando,Sri Lanka
WK McCallan,Ireland
WP Masakadza,Zimbabwe
WP Myburgh,Namibia
WP Saha,India
WPUJC Vaas,Sri Lanka
WS Jayantha,Sri Lanka
WT Gavera,Papua New Guinea
WTS Porterfield,Ireland
WU Tharanga,Sri Lanka
WW Hinds,West Indies
Wahab Riaz,Pakistan
Waheed Ahmed,United Arab Emirates
Waqar Younis,Pakistan
Waqas Barkat,Hong Kong
Waqas Khan,Hong Kong
Waseem Muhammad,United Arab Emirates
Washington Sundar,India
Wasim Akram,Pakistan
Wasim Ali,Oman
XC Bartlett,Australia
XJ Doherty,Australia
XM Marshall,United States of America
Y Cariah,West Indies
Y Punja,United Arab Emirates
Y Venugopal Rao,India
YBK Jaiswal,India
YK Pathan,India
YS Chahal,India
YS Samra,Canada
Yasir Ali Chowdhury,Bangladesh
Yasir Arafat,Pakistan
Yasir Hameed,Pakistan
Yasir Mohammad,United States of America
Yasir Shah,Pakistan
Younis Khan,Pakistan
Yousuf Youhana,Asia XI
Yuvraj Singh,India
Z Crawley,England
Z Groenewald,Namibia
Z Khan,India
ZB Lion-Cachet,Netherlands
ZE Green,Namibia
ZE Surkari,Canada
ZGF Foulkes,New Zealand
Zafar Gohar,Pakistan
Zaheer Maqsood,United Arab Emirates
Zahid Ali,United Arab Emirates
Zahid Hussain,Canada
Zahid Mahmood,Pakistan
Zahid Shah,United Arab Emirates
Zahoor Khan,United Arab Emirates
Zain Abbas,Hong Kong
Zakir Hasan,Bangladesh
Zawar Farid,United Arab Emirates
Zeeshan Maqsood,Oman
Zeeshan Siddiqi,Canada
Ziaur Rahman,Bangladesh
Zubayr Hamza,South Africa
Zuhaib Zubair,United Arab Emirates
Zulfiqar Babar,Pakistan
Zulqarnain Haider,Pakistan
